ENT,CVE_MUN,MUN,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,IM,GM,LUG_NAC,LUGAR_EST,AÑO
Oaxaca,20297,San Pablo Tijaltepec,2279,40,65.91,83.34,47.06,63.9,74.69,92.55,100,91.41,1.408,Muy alto,218,105,1990
Oaxaca,20453,Santiago Astata,2275,20.46,45.01,60.09,14.42,21.68,68.76,45.47,100,83.12,0.03,Medio,1168,435,1990
Oaxaca,20454,Santiago Atitl·n,2270,43.15,73.04,35.13,50.84,60.86,77.68,91.09,100,93.46,1.277,Muy alto,275,139,1990
Oaxaca,20080,San AgustÌn Amatengo,2256,35.81,63.64,33.38,1.95,33.42,55.76,72.91,100,93.17,0.316,Alto,926,372,1990
Oaxaca,20372,Santa Catarina Yosonot˙,2244,50.12,68.26,83.18,73.61,89.61,63.9,82.77,100,80.82,1.528,Muy alto,174,82,1990
Oaxaca,20308,San Pedro Huilotepec,2236,27.32,52.76,66.49,19.04,15.25,81.38,68.86,100,70.87,0.368,Alto,882,364,1990
Oaxaca,20259,San Miguel Ahuehuetitl·n,2231,62.39,90.98,90.57,20.35,50.94,78.38,66.67,100,94.39,1.64,Muy alto,135,58,1990
Oaxaca,20237,San Marcos Arteaga,2230,24.5,58.02,34.57,5.7,21.13,60.71,26.59,100,82.88,-0.209,Medio,1372,469,1990
Oaxaca,20038,Villa Hidalgo,2220,45.04,67.35,22.19,14.82,13.7,62.93,57.51,100,86.25,0.278,Alto,958,381,1990
Oaxaca,20356,Santa Ana del Valle,2220,14.18,60.98,79.37,1.22,67.01,76.24,49.68,100,89.77,0.573,Alto,710,302,1990
Oaxaca,20187,San Juan CoatzÛspam,2213,47.7,77.99,76.46,6.65,10.01,84.29,92.5,100,86.17,1.12,Alto,343,169,1990
Oaxaca,20569,Santa InÈs de Zaragoza,2205,18.22,60.26,75.15,71.29,93.97,68.7,64.95,100,97.71,1.199,Muy alto,319,156,1990
Oaxaca,20412,Santa MarÌa Guienagati,2198,27.83,75.11,71.14,55.34,40.4,73.46,38.17,100,79.61,0.773,Alto,556,256,1990
Oaxaca,20065,Ixpantepec Nieves,2183,46.29,78.68,73.65,3.38,40.13,69.98,59.31,100,83.76,0.847,Alto,505,237,1990
Oaxaca,20349,San Sebasti·n Teitipac,2175,21.51,62.95,63.45,9.29,70.67,79.8,65.2,100,72.03,0.589,Alto,692,297,1990
Oaxaca,20104,San Antonino el Alto,2156,25.86,67.93,74.58,49.17,72.87,78.55,80.14,100,91.02,1.253,Muy alto,288,144,1990
Oaxaca,20233,San Lucas QuiavinÌ,2156,41.26,71.79,50.63,9.74,9.01,83.71,58.78,100,71,0.493,Alto,775,328,1990
Oaxaca,20212,San Juan Petlapa,2153,48.11,89.72,59.03,99.12,91.57,75.06,100,100,67.57,1.822,Muy alto,78,34,1990
Oaxaca,20117,San BartolomÈ Loxicha,2144,34.72,75.16,93.55,51.96,45.07,76.96,92.44,100,96.24,1.51,Muy alto,178,84,1990
Oaxaca,20154,San Ildefonso Amatl·n,2128,26.76,67.96,52.4,27.58,65.13,83.1,81.48,100,93.07,1.051,Alto,387,187,1990
Oaxaca,20535,San Vicente LachixÌo,2126,52.16,76,52.97,70.41,58.09,91.67,87.99,100,89.71,1.712,Muy alto,115,50,1990
